id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids,is_mature,follow_count,total_views
45081848444,71588578,therealknossi,TheRealKnossi,509658,Just Chatting,live,Mundstuhl hat sich gemeldet! Community Kassenlink >>> !amazon,10128,2022-03-28T14:51:03Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_therealknossi-{width}x{height}.jpg,['9166ad14-41f1-4b04-a3b8-c8eb838c6be6'],TRUE,1945834,68111738
45081595388,263748648,akyuliych,akyuliych,509658,Just Chatting,live,МАМА НАРЯДИЛАСЬ НА ДР МУЖА! И ПОЁТ КАРАОКЕ,10064,2022-03-28T14:07:12Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_akyuliych-{width}x{height}.jpg,['0569b171-2a2b-476e-a596-5bdfb45a1327'],FALSE,347653,4949634
45996578077,26779624,relaxing234,relaxing234,21779,League of Legends,live,【 Stanley 】3/28  無情孤兒  晚點和特老闆絕命,9293,2022-03-28T13:59:19Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_relaxing234-{width}x{height}.jpg,['74c92063-a389-4fd2-8460-b1bb82b04ec7'],FALSE,434848,54341192
45081892620,93869876,thebausffs,Thebausffs,21779,League of Legends,live,FRICK!,8978,2022-03-28T14:57:46Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_thebausffs-{width}x{height}.jpg,['6ea6bca4-4712-4ab9-a906-e3336a9d8039'],FALSE,544639,19045609
40666754299,56649026,quin69,Quin69,509658,Just Chatting,live,chatting + coffee then -> LEAGUE OF LEGENDS REDEMPTION ARC ~ ROAD FROM IRON TO DIAMOND.,8935,2022-03-28T14:02:34Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_quin69-{width}x{height}.jpg,"['6ea6bca4-4712-4ab9-a906-e3336a9d8039', 'd0976a7e-26a7-4a48-9225-c522808540f2', '69318d09-f132-4853-b4b6-09a0580f7092', 'c3d08be0-01cd-45e2-b86a-1e09532084c1', '40323303-665a-4182-9554-f48006ce93d9']",FALSE,666964,111629704
45082020028,47966045,by_owl,by_Owl,509658,Just Chatting,live,о том о сём 🤣🤣🤣🤣,8538,2022-03-28T15:15:35Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_by_owl-{width}x{height}.jpg,['0569b171-2a2b-476e-a596-5bdfb45a1327'],FALSE,380427,19202181
45997071949,132004305,darumaisgod,だるまいずごっど,21779,League of Legends,live,腫れ物カスタム,8511,2022-03-28T15:16:54Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_darumaisgod-{width}x{height}.jpg,['6ba1d230-e52f-4d81-b1e0-41f25a8a9f5d'],FALSE,212547,2157154
45996560541,264984080,abugoku9999,abugoku9999,32982,Grand Theft Auto V,live,[IMMORTAL] BITCOIN RP !WATERDROP !NORDVPN !DISPLATE,8478,2022-03-28T13:56:46Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_abugoku9999-{width}x{height}.jpg,"['9166ad14-41f1-4b04-a3b8-c8eb838c6be6', '06ab147d-91b6-4c7f-83e4-2b337d2780d5', '0cb7e377-a308-44e8-91f7-07eea1d96129']",FALSE,211906,6572009
45996566365,36138196,alexelcapo,alexelcapo,1318043161,Tiny Tina's Wonderlands,live,Cafe y Tiny Tina's Wonderlads patrocinado #ad,8300,2022-03-28T13:57:39Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_alexelcapo-{width}x{height}.jpg,['d4bb9c58-2141-4881-bcdc-3fe0505457d1'],FALSE,954002,78918561
39607315129,96308352,vysotzky,vysotzky,21779,League of Legends,live,"tragedia LPkowa, czas zmian",8292,2022-03-28T13:36:33Z,pl,https://static-cdn.jtvnw.net/previews-ttv/live_user_vysotzky-{width}x{height}.jpg,['f9d04efa-6e25-49bf-bf0a-da3e2addaf1b'],FALSE,238361,8499139
45995648653,148057505,tmxk319,괴물쥐123,21779,League of Legends,live,마스터 가자,8243,2022-03-28T11:10:57Z,ko,https://static-cdn.jtvnw.net/previews-ttv/live_user_tmxk319-{width}x{height}.jpg,['ab2975e3-b9ca-4b1a-a93e-fb61a5d5c3a4'],FALSE,772304,55088317
45071285916,121649330,method,Method,18122,World of Warcraft,live,🔴METHOD Race to World First | !partners !casters !kill,8231,2022-03-27T08:02:30Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_method-{width}x{height}.jpg,"['7cefbf30-4c3e-4aa7-99cd-70aabb662f27', 'b13ce7d5-d513-49ff-a957-76f193df42aa', '6ea6bca4-4712-4ab9-a906-e3336a9d8039']",FALSE,376253,77602845
45995379613,149282352,moonmermaid,MoonMermaid,493959,Red Dead Redemption 2,live,🍀24er - in den Geburtstag reinfeiern 🍀  |  ♥  [LooneyLoops] | !JL !EMP  #ad,7919,2022-03-28T10:05:00Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_moonmermaid-{width}x{height}.jpg,"['325f7a22-26f4-4ad7-be48-f464de0b89ce', '0cb7e377-a308-44e8-91f7-07eea1d96129', '85d2fb8f-7257-4e08-8065-6161fa3029fa', '938fcad2-4d77-4a06-9e49-b75b0879b645', '8bbdb07d-df18-4f82-a928-04a9003e9a7e', '9166ad14-41f1-4b04-a3b8-c8eb838c6be6']",TRUE,35924,9278388
45081026588,39154778,recrent,Recrent,493057,PUBG: BATTLEGROUNDS,live,duo PUBG /w C_a_k_e,7863,2022-03-28T12:11:14Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_recrent-{width}x{height}.jpg,"['c2542d6d-cd10-4532-919b-3d19f30a768b', '0569b171-2a2b-476e-a596-5bdfb45a1327']",FALSE,701424,72081745
45995790765,10985633,spygea,SPYGEA,511224,Apex Legends,live,エペやるぞ,7835,2022-03-28T11:42:23Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_spygea-{width}x{height}.jpg,['6ba1d230-e52f-4d81-b1e0-41f25a8a9f5d'],FALSE,493688,60753974
39607188841,115141884,grpzdc,GRPZDC,515214,Politics,live,База ,7513,2022-03-28T12:03:39Z,ru,https://static-cdn.jtvnw.net/previews-ttv/live_user_grpzdc-{width}x{height}.jpg,"['0569b171-2a2b-476e-a596-5bdfb45a1327', '08ce797c-fad2-44d0-8c90-05a99ed95339', 'ee1daaae-116a-44d6-9f40-09322caf3181', 'e57c1bca-b46d-409b-a09f-2919dace5b72', '3d5c81dd-c48c-4e21-90d3-6bdcf365709c', '6fd5b307-df1b-414c-baa3-634cc6ca6940']",TRUE,65722,4417054
